column_name,question_en,responses_en
IMD2001_2,Age of respondent (in categories listed below).,(1) 01. YOUNGEST - 24 YEARS (2) 02. 25-34 YEARS (3) 03. 35-44 YEARS (4) 04. 45-54 YEARS (5) 05. 55-64 YEARS (6) 06. 65 - OLDEST
IMD2002,Age of respondent (in categories listed below).,(1) 1. MALE (2) 2. FEMALE (3) 3. OTHER   
IMD2003,Education of Respondent.,(0) 0. NONE (NO EDUCATION) / ILLITERATE (1) 1. PRIMARY EDUCATION/LOWER SECONDARY EDUCATION (2) 2. HIGHER SECONDARY EDUCATION (3) 3. POST-SECONDARY (NON-UNIVERSITY) EDUCATION (4) 4. UNIVERSITY EDUCATION (6) 6. OTHER   
IMD2004,,"(1) 1. MARRIED OR LIVING TOGETHER AS MARRIED (2) 2. WIDOWED (3) 3. DIVORCED OR SEPARATED (MARRIED BUT SEPARATED/NOT LIVING WITH LEGAL SPOUSE) (4) 4. SINGLE, NEVER MARRIED (5) 5. [SEE ELECTION STUDY NOTES]   "
IMD2005_1,,(1) 1. NEVER (2) 2. ONCE A YEAR (3) 3. TWO TO ELEVEN TIMES A YEAR (4) 4. ONCE A MONTH (5) 5. TWO OR MORE TIMES A MONTH (6) 6. ONCE A WEEK/MORE THAN ONCE A WEEK   
IMD2005_2,,(1) 1. HAVE NO RELIGIOUS BELIEFS (2) 2. NOT VERY RELIGIOUS (3) 3. SOMEWHAT RELIGIOUS (4) 4. VERY RELIGIOUS   
IMD2006,,(1) 1. LOWEST HOUSEHOLD INCOME QUINTILE (2) 2. SECOND HOUSEHOLD INCOME QUINTILE (3) 3. THIRD HOUSEHOLD INCOME QUINTILE (4) 4. FOURTH HOUSEHOLD INCOME QUINTILE (5) 5. HIGHEST HOUSEHOLD INCOME QUINTILE (6) 6. [SEE ELECTION STUDY NOTES]   
IMD2007,,(1) 1. RURAL AREA OR VILLAGE (2) 2. SMALL OR MIDDLE-SIZED TOWN (3) 3. SUBURBS OF LARGE TOWN OR CITY (4) 4. LARGE TOWN OR CITY   
IMD2014,,"(0) 0. EMPLOYED : NO HOURS SPECIFIED (1) 01. EMPLOYED : FULL-TIME (32 OR MORE HOURS WEEKLY) (2) 02. EMPLOYED : PART-TIME (15-32 HOURS WEEKLY) (3) 03. EMPLOYED : LESS THAN 15 HOURS (4) 04. HELPING FAMILY MEMBER (5) 05. UNEMPLOYED (6) 06. STUDENT, IN SCHOOL, IN VOCATIONAL TRAINING (7) 07. RETIRED (8) 08. HOMEMAKER, HOME DUTIES (9) 09. PERMANENTLY DISABLED (10) 10. OTHERS, NOT IN LABOR FORCE (11) 11. ON TEMPORARY JOB LEAVE (MATERNITY LEAVE, SICK LEAVE, ETC.) (12) 12. CIVIL / MILITARY SERVICE"
IMD2016,,(1) 1. WHITE COLLAR (2) 2. WORKER (3) 3. FARMER (4) 4. SELF-EMPLOYED (5) 5. OTHER   
IMD2019_1,,(0) 0. R IS NOT A MEMBER OF A UNION (1) 1. R IS MEMBER OF A UNION   
IMD3001,,(0) 0. RESPONDENT DID NOT CAST A BALLOT (1) 1. RESPONDENT CAST A BALLOT
IMD3001_PR_1,,(0) 0. RESPONDENT DID NOT CAST A BALLOT (1) 1. RESPONDENT CAST A BALLOT
IMD3001_PR_2,,(0) 0. RESPONDENT DID NOT CAST A BALLOT (1) 1. RESPONDENT CAST A BALLOT
IMD3001_LH,,(0) 0. RESPONDENT DID NOT CAST A BALLOT (1) 1. RESPONDENT CAST A BALLOT
IMD3001_UH,,(0) 0. RESPONDENT DID NOT CAST A BALLOT (1) 1. RESPONDENT CAST A BALLOT
