"column_name","question_short_en","category_short_en","display_en","question_en","responses_en","responses_en_rec"
"IMD2001_2","Age of respondent (in categories)","Demographic Data","Demographic Data: AGE OF RESPONDENT (IN CATEGORIES) (IMD2001_2)","Age of respondent (in categories listed below).","(1) YOUNGEST - 24 YEARS (2) 25-34 YEARS (3) 35-44 YEARS (4) 45-54 YEARS (5) 55-64 YEARS (6) 65 - OLDEST","(1) Youngest - 24 years (2) 25-34 years (3) 35-44 years (4) 45-54 years (5) 55-64 years (6) 65 - oldest"
"IMD2002","Gender","Demographic Data","Demographic Data: GENDER (IMD2002)","Gender of Respondent.","(1) MALE (2) FEMALE (3) OTHER","(1) Male (2) Female (3) Other"
"IMD2003","Education","Demographic Data","Demographic Data: EDUCATION (IMD2003)","Education of Respondent.","(0) NONE (NO EDUCATION) / ILLITERATE (1) PRIMARY EDUCATION/LOWER SECONDARY EDUCATION (2) HIGHER SECONDARY EDUCATION (3) POST-SECONDARY (NON-UNIVERSITY) EDUCATION (4) UNIVERSITY EDUCATION","(0) None (no education) / illiterate (1) Primary education/lower secondary education (2) Higher secondary education (3) Post-secondary (non-university) Education (4) University education"
"IMD2004","Marital status","Demographic Data","Demographic Data: MARITAL STATUS (IMD2004)","Respondent's marital or civil union status.","(1) MARRIED OR LIVING TOGETHER AS MARRIED (2) WIDOWED (3) DIVORCED OR SEPARATED (MARRIED BUT SEPARATED/NOT LIVING WITH LEGAL SPOUSE) (4) SINGLE, NEVER MARRIED (5) [SEE ELECTION STUDY NOTES]","(1) Married or living together as married (2) Widowed (3) Divorced or separated (married but separated/not living with legal spouse) (4) Single, never married (5) [see election study notes]"
"IMD2005_1","Religious services attendance","Demographic Data","Demographic Data: RELIGIOUS SERVICES ATTENDANCE (IMD2005_1)","Religious denomination.","(1) NEVER (2) ONCE A YEAR (3) TWO TO ELEVEN TIMES A YEAR (4) ONCE A MONTH (5) TWO OR MORE TIMES A MONTH (6) ONCE A WEEK/MORE THAN ONCE A WEEK","(1) Never (2) Once a year (3) Two to eleven times a year (4) Once a month (5) Two or more times a month (6) Once a week/more than once a week"
"IMD2005_2","Religiosity","Demographic Data","Demographic Data: RELIGIOSITY (IMD2005_2)","Religiosity.","(1) HAVE NO RELIGIOUS BELIEFS (2) NOT VERY RELIGIOUS (3) SOMEWHAT RELIGIOUS (4) VERY RELIGIOUS","(1) Have no religious beliefs (2) Not very religious (3) Somewhat religious (4) Very religious"
"IMD2006","Household income","Demographic Data","Demographic Data: HOUSEHOLD INCOME (IMD2006)","Household income quintile appropriate to the respondent.","(1) LOWEST HOUSEHOLD INCOME QUINTILE (2) SECOND HOUSEHOLD INCOME QUINTILE (3) THIRD HOUSEHOLD INCOME QUINTILE (4) FOURTH HOUSEHOLD INCOME QUINTILE (5) HIGHEST HOUSEHOLD INCOME QUINTILE","(1) Lowest household income quintile (2) Second household income quintile (3) Third household income quintile (4) Fourth household income quintile (5) Highest household income quintile"
"IMD2007","Rural or urban residence","Demographic Data","Demographic Data: RURAL OR URBAN RESIDENCE (IMD2007)","Rural/Urban Residence.","(1) RURAL AREA OR VILLAGE (2) SMALL OR MIDDLE-SIZED TOWN (3) SUBURBS OF LARGE TOWN OR CITY (4) LARGE TOWN OR CITY","(1) Rural area or village (2) Small or middle-sized town (3) Suburbs of large town or city (4) Large town or city"
"IMD2014","Current employment status","Demographic Data","Demographic Data: CURRENT EMPLOYMENT STATUS (IMD2014)","Current employment status of respondent.","(0) EMPLOYED : NO HOURS SPECIFIED (1) EMPLOYED : FULL-TIME (32 OR MORE HOURS WEEKLY) (2) EMPLOYED : PART-TIME (15-32 HOURS WEEKLY) (3) EMPLOYED : LESS THAN 15 HOURS (4) HELPING FAMILY MEMBER (5) UNEMPLOYED (6) STUDENT, IN SCHOOL, IN VOCATIONAL TRAINING (7) RETIRED (8) HOMEMAKER, HOME DUTIES (9) PERMANENTLY DISABLED (10) OTHERS, NOT IN LABOR FORCE (11) ON TEMPORARY JOB LEAVE (MATERNITY LEAVE, SICK LEAVE, ETC.) (12) CIVIL / MILITARY SERVICE","(0) Employed : no hours specified (1) Employed : full-time (32 or more hours weekly) (2) Employed : part-time (15-32 hours weekly) (3) Employed : less than 15 hours (4) Helping family member (5) Unemployed (6) Student, in school, in vocational training (7) Retired (8) Homemaker, home duties (9) Permanently disabled (10) Others, not in labor force (11) On temporary job leave (maternity leave, sick leave, etc.) (12) Civil / military service"
"IMD2016","Socio economic status","Demographic Data","Demographic Data: SOCIO ECONOMIC STATUS (IMD2016)","Respondent's socio-economic status.","(1) WHITE COLLAR (2) WORKER (3) FARMER (4) SELF-EMPLOYED (5) OTHER","(1) White collar (2) Worker (3) Farmer (4) Self-employed (5) Other"
"IMD2019_1","Union membership of respondent","Demographic Data","Demographic Data: UNION MEMBERSHIP OF RESPONDENT (IMD2019_1)","Union membership of respondent.","(0) R IS NOT A MEMBER OF A UNION (1) R IS MEMBER OF A UNION","(0) R is not a member of a union (1) R is member of a union"
"IMD3001","Turnout: main election","Survey Data","Survey Data: TURNOUT: MAIN ELECTION (IMD3001)","Whether or not the respondent cast a ballot in the main election.","(0) RESPONDENT DID NOT CAST A BALLOT (1) RESPONDENT CAST A BALLOT","(0) Respondent did not cast a ballot (1) Respondent cast a ballot"
"IMD3001_PR_1","Turnout: current presidential election - round 1","Survey Data","Survey Data: TURNOUT: CURRENT PRESIDENTIAL ELECTION - ROUND 1 (IMD3001_PR_1)","Whether or not the respondent cast a ballot in the first/second round of the Presidential elections.","(0) RESPONDENT DID NOT CAST A BALLOT (1) RESPONDENT CAST A BALLOT","(0) Respondent did not cast a ballot (1) Respondent cast a ballot"
"IMD3001_PR_2","Turnout: current presidential election - round 2","Survey Data","Survey Data: TURNOUT: CURRENT PRESIDENTIAL ELECTION - ROUND 2 (IMD3001_PR_2)","Whether or not the respondent cast a ballot in the first/second round of the Presidential elections.","(0) RESPONDENT DID NOT CAST A BALLOT (1) RESPONDENT CAST A BALLOT","(0) Respondent did not cast a ballot (1) Respondent cast a ballot"
"IMD3001_LH","Turnout: current lower house election","Survey Data","Survey Data: TURNOUT: CURRENT LOWER HOUSE ELECTION (IMD3001_LH)","Whether or not the respondent cast a ballot in the lower house election.","(0) RESPONDENT DID NOT CAST A BALLOT (1) RESPONDENT CAST A BALLOT","(0) Respondent did not cast a ballot (1) Respondent cast a ballot"
"IMD3001_UH","Turnout: current upper house election","Survey Data","Survey Data: TURNOUT: CURRENT UPPER HOUSE ELECTION (IMD3001_UH)","Whether or not the respondent cast a ballot in the upper house election.","(0) RESPONDENT DID NOT CAST A BALLOT (1) RESPONDENT CAST A BALLOT","(0) Respondent did not cast a ballot (1) Respondent cast a ballot"
"IMD3001_TS","Turnout: turnout switcher between current","Survey Data","Survey Data: TURNOUT: TURNOUT SWITCHER BETWEEN CURRENT (IMD3001_TS)","Whether or not the respondent reports voting in the current and previous election.","(0) RESPONDENT ABSTAINED IN BOTH ELECTIONS (1) RESPONDENT ABSTAINED IN CURRENT ELECTION BUT VOTED IN PREVIOUS ELECTION (2) RESPONDENT VOTED IN CURRENT ELECTION BUT ABSTAINED IN PREVIOUS ELECTION (3) RESPONDENT VOTED IN BOTH CURRENT AND PREVIOUS ELECTION (5) RESPONDENT ABSTAINED IN CURRENT ELECTION BUT INELIGIBLE TO VOTE IN PREVIOUS ELECTION (6) RESPONDENT VOTED IN CURRENT ELECTION BUT INELIGIBLE TO VOTE IN PREVIOUS ELECTION","(0) Respondent abstained in both elections (1) Respondent abstained in current election but voted in previous election (2) Respondent voted in current election but abstained in previous election (3) Respondent voted in both current and previous election (5) Respondent abstained in current election but ineligible to vote in previous election (6) Respondent voted in current election but ineligible to vote in previous election"
"IMD3002_OUTGOV","Vote choice: current main election - vote for outgoing government (incumbent)","Survey Data","Survey Data: VOTE CHOICE: CURRENT MAIN ELECTION - VOTE FOR OUTGOING GOVERNMENT (INCUMBENT) (IMD3002_OUTGOV)","Whether or not the respondent cast a ballot for the outgoing incumbent.","(0) DID NOT VOTE FOR THE OUTGOING GOVERNMENT (INCUMBENT) (1) VOTED FOR THE OUTGOING GOVERNMENT (INCUMBENT)","(0) Did not vote for the outgoing government (incumbent) (1) Voted for the outgoing government (incumbent)"
"IMD3002_VS_1","Vote choice: vote switcher between current election and previous election","Survey Data","Survey Data: VOTE CHOICE: VOTE SWITCHER BETWEEN CURRENT ELECTION AND PREVIOUS ELECTION (IMD3002_VS_1)"," Whether or not the respondent reports voting for the same party/coalition in the current and previous main election.","(0) DID NOT SWITCH (VOTED FOR SAME PARTY/COALITION IN CURRENT & PREVIOUS ELECTION) (1) SWITCHER (CHANGED VOTE IN CURRENT ELECTION FROM PREVIOUS ELECTION)","(0) Did not switch (voted for same party/coalition in current & previous election) (1) Switcher (changed vote in current election from previous election)"
"IMD3002_LR_CSES","Vote choice: current main election - vote for leftist/center/rightist - cses","Survey Data","Survey Data: VOTE CHOICE: CURRENT MAIN ELECTION - VOTE FOR LEFTIST/CENTER/RIGHTIST - CSES (IMD3002_LR_CSES)","Whether or not the respondent reports voting for a leftist/center/rightist party/candidate of the party, based on CSES Collaborators experts' judgment of parties' ideology.","(1) VOTED FOR LEFTIST PARTY/CANDIDATE (2) VOTED FOR CENTER PARTY/CANDIDATE (3) VOTED FOR RIGHTIST PARTY/CANDIDATE","(1) Voted for leftist party/candidate (2) Voted for center party/candidate (3) Voted for rightist party/candidate"
"IMD3005_1","Party identification: are you close to any political party","Survey Data","Survey Data: PARTY IDENTIFICATION: ARE YOU CLOSE TO ANY POLITICAL PARTY (IMD3005_1)","Do you usually think of yourself as close to any particular party?","(0) NO (1) YES","(0) No (1) Yes"
"IMD3006","Ideology: left-right - self","Survey Data","Survey Data: IDEOLOGY: LEFT-RIGHT -  SELF (IMD3006)","Respondents' self-placement on a 0-10 left-right scale.","(0) LEFT (10) RIGHT","(0) Left (10) Right"
"IMD3010","Satisfaction with democracy","Survey Data","Survey Data: SATISFACTION WITH DEMOCRACY (IMD3010)","On the whole, are you very satisfied, fairly satisfied, not very satisfied, or not at all satisfied with the way democracy works in [COUNTRY]?","(1) VERY SATISFIED (2) FAIRLY SATISFIED (3) NEITHER SATISFIED NOR DISSATISFIED (4) NOT VERY SATISFIED (5) NOT AT ALL SATISFIED","(1) Very satisfied (2) Fairly satisfied (3) Neither satisfied nor dissatisfied (4) Not very satisfied (5) Not at all satisfied"
"IMD3011","Efficacy: who is in power can make a difference","Survey Data","Survey Data: EFFICACY: WHO IS IN POWER CAN MAKE A DIFFERENCE (IMD3011)","Some people say that it doesn't make any difference who is in power. Others say that it makes a big difference who is in power. Using the scale on this card, (where ONE means that it doesn't make any difference who is in power and FIVE means that it makes a big difference who is in power), where would you place yourself?","(1) IT DOESN'T MAKE ANY DIFFERENCE WHO IS IN POWER (5) IT MAKES A BIG DIFFERENCE WHO IS IN POWER","(1) It doesn't make any difference who is in power (5) It makes a big difference who is in power"
"IMD3012","Efficacy: who people vote for makes a difference","Survey Data","Survey Data: EFFICACY: WHO PEOPLE VOTE FOR MAKES A DIFFERENCE (IMD3012)","Some people say that no matter who people vote for, it won't make any difference to what happens. Others say that who people vote for can make a big difference to what happens. Using the scale on this card, (where ONE means that voting won't make any difference to what happens and FIVE means that voting can make a big difference), where would you place yourself?","(1) WHO PEOPLE VOTE FOR WON'T MAKE ANY DIFFERENCE (5) WHO PEOPLE VOTE FOR CAN MAKE A BIG DIFFERENCE","(1) Who people vote for won't make any difference (5) Who people vote for can make a big difference"
"IMD3013_1","State of economy (over past 12 months)","Survey Data","Survey Data: STATE OF ECONOMY (OVER PAST 12 MONTHS) (IMD3013_1)","Would you say that over the past twelve months, the state of the economy in [COUNTRY] has gotten better, stayed about the same, or gotten worse?","(1) GOTTEN BETTER (3) STAYED THE SAME (5) GOTTEN WORSE","(1) Gotten better (3) Stayed the same (5) Gotten worse"
"IMD3013_2","State of economy - better","Survey Data","Survey Data: STATE OF ECONOMY - BETTER (IMD3013_2)","Would you say much better or somewhat better?","(1) MUCH BETTER (2) SOMEWHAT BETTER","(1) Much better (2) Somewhat better"
"IMD3013_3","State of economy - worse","Survey Data","Survey Data: STATE OF ECONOMY - WORSE (IMD3013_3)","Would you say much worse or somewhat worse?","(4) SOMEWHAT WORSE (5) MUCH WORSE","(4) Somewhat worse (5) Much worse"
"IMD3014","Government performance: general","Survey Data","Survey Data: GOVERNMENT PERFORMANCE: GENERAL (IMD3014)","Now thinking about the performance of the [government in [CAPITAL]/President] in general, how good or bad a job do you think the [government/President in [CAPITAL]] has done over the past [NUMBER OF YEARS SINCE LAST GOVERNMENT TOOK OFFICE, BEFORE THE CURRENT ELECTION] years? Has [it/he/she] done a very good job? A good job? A bad job? A very bad job?","(1) VERY GOOD JOB (2) GOOD JOB (3) BAD JOB (4) VERY BAD JOB","(1) Very good job (2) Good job (3) Bad job (4) Very bad job"
"IMD5006_1","Electoral turnout - turnout as a percentage of registered voters (er)","Macro Data","Macro Data: ELECTORAL TURNOUT - TURNOUT AS A PERCENTAGE OF REGISTERED VOTERS (ER) (IMD5006_1)","Official voter turnout - Percentage of the registered voters (ER).","(0 to 100). PERCENT OF REGISTERED VOTERS (ER) WHO VOTED","(0 to 100). Percent of registered voters (er) Who voted"
